Julia's Classifier
---------------------------------------------
Expected results:

Accuracy: 0.529642
Precision: 0.540787
Recall: 0.519452
F1 Score: 0.529905



1	"Yo no creo que a nadie le haya encantado un pene flácido .
"	"Yo no creo que a nadie le haya encantado un pene flcido 
"
1	"Hubo reflexiones sobre si los memes constituyen una subcultura y , si es así , si eso podría durar : se especulaba sobre la naturaleza del consumidor de memes , que habría encajado fácilmente en una charla web más tradicional ; y los comentarios de la audiencia insinuaban que la atención de las masas está arruinando la creación de memes brillantes .
"	"Hubo reflexiones sobre si los memes constituyen una subcultura y  si es as  si eso podra durar  se especulaba sobre la naturaleza del consumidor de memes  que habra encajado fcilmente en una charla web ms tradicional  y los comentarios de la audiencia insinuaban que la atencin de las masas est arruinando la creacin de memes brillantes 
"
1	"Mientras Rihanna no estaba sentado con el embajador mundial del equipo , su amiga Melissa Forde se aseguró que ella siguiera riendo todo el tiempo !
"	"Mientras Rihanna no estaba sentado con el embajador mundial del equipo  su amiga Melissa Forde se asegur que ella siguiera riendo todo el tiempo 
"
1	"Después de Vogue , Adivina qué publicación le ha repudiado públicamente Ahora !
"	"Despus de Vogue  Adivina qu publicacin le ha repudiado pblicamente Ahora 
"
0	"Meek , residente de Arizona , fue detenido por la policía el 16 de mayo después de que lo encontraron fuera de un inmueble propiedad de la estrella del pop .
"	"Meek  residente de Arizona  fue detenido por la polica el  de mayo despus de que lo encontraron fuera de un inmueble propiedad de la estrella del pop 
"
0	"Yo ya he dejado que ella entregue a la lucha libre , bobsleigh , soldadura , y la recolección de la sarna , pero el piano ?
"	"Yo ya he dejado que ella entregue a la lucha libre  bobsleigh  soldadura  y la recoleccin de la sarna  pero el piano 
"
1	"Ahora , había un poco de extrañeza por parte de los policías cuando JB fue arrestado , pero cuando se llega a esto , Justin admitió tener cosas en su cuerpo cuando se le detuvo .
"	"Ahora  haba un poco de extraeza por parte de los policas cuando JB fue arrestado  pero cuando se llega a esto  Justin admiti tener cosas en su cuerpo cuando se le detuvo 
"
1	"A menudo me gustaría que tenía una hoja de vida con cualquier cosa en él , además de la comedia , pero yo empecé a hacer esto cuando tenía 20 años .
"	"A menudo me gustara que tena una hoja de vida con cualquier cosa en l  adems de la comedia  pero yo empec a hacer esto cuando tena  aos 
"
0	"Etiquetas : austin butler , austin butler photos , coachella , fashion smashion , love line , vanessa hudgens , vanessa hudgens photos , weekend two
"	"Etiquetas  austin butler  austin butler photos  coachella  fashion smashion  love line  vanessa hudgens  vanessa hudgens photos  weekend two
"
1	"( Esto no es una práctica inusual para algunas asistentes de vida asistida .
"	" Esto no es una prctica inusual para algunas asistentes de vida asistida 
"
1	"Y ya revelamos información acerca de la segunda generación del teléfono "" , añade .
"	"Y ya revelamos informacin acerca de la segunda generacin del telfono   aade 
"
0	"Ay , "" Movieapp "" no suena igual .
"	"Ay   Movieapp  no suena igual 
"
1	"¡ Beyoncé es una deslumbrante diosa del glamour en su actuación de los Brit Awards !
"	" Beyonc es una deslumbrante diosa del glamour en su actuacin de los Brit Awards 
"
1	"Esperamos atraer a nuevas empresas que normalmente se vería a San Francisco , Londres o quizás Irlanda , en lugar de considerar las nuevas y asombrosas oportunidades Crimea ofrece como el nuevo centro de inicio en el mundo "" .
"	"Esperamos atraer a nuevas empresas que normalmente se vera a San Francisco  Londres o quizs Irlanda  en lugar de considerar las nuevas y asombrosas oportunidades Crimea ofrece como el nuevo centro de inicio en el mundo  
"
1	"Me uní a Simply Hired durante varios años e hice algún trabajo del cual me sentía orgulloso , pero luego continué dando vueltas en páginas de consultoría como oDesk , Mint.com , O ' Reilly Media y otras en las cuales todavía me sentía como que no encajaba , y que no estaban teniendo la repercusión que yo esperaba .
"	"Me un a Simply Hired durante varios aos e hice algn trabajo del cual me senta orgulloso  pero luego continu dando vueltas en pginas de consultora como oDesk  Mintcom  O  Reilly Media y otras en las cuales todava me senta como que no encajaba  y que no estaban teniendo la repercusin que yo esperaba 
"
1	"El actriz y mamá por la primera vez de 30 años , confirmó la magnífica noticia hace unos momentos en Twitter .
"	"El actriz y mam por la primera vez de  aos  confirm la magnfica noticia hace unos momentos en Twitter 
"
1	"Por no hablar de que sólo lo hace bien para los jóvenes y los que miran a ellos creo que está bien que se comporten de esa manera hacia la autoridad !
"	"Por no hablar de que slo lo hace bien para los jvenes y los que miran a ellos creo que est bien que se comporten de esa manera hacia la autoridad 
"
1	"Una de esas inversiones es d.light , una empresa con fines de lucro que diseña la luz solar-accionado para el mundo en desarrollo .
"	"Una de esas inversiones es dlight  una empresa con fines de lucro que disea la luz solaraccionado para el mundo en desarrollo 
"
0	"La multitud de los que recuerdan que de alguna manera previeron estos eventos ha crecido como las reliquias de la verdadera cruz
"	"La multitud de los que recuerdan que de alguna manera previeron estos eventos ha crecido como las reliquias de la verdadera cruz
"
0	"Etiquetas : Andy Samberg , productor ejecutivo , gifs , Janelle Monáe , kristen bell , rudolph maya , nbc , Sean Hayes , series , noticias de televisión , show de variedades
"	"Etiquetas  Andy Samberg  productor ejecutivo  gifs  Janelle Mone  kristen bell  rudolph maya  nbc  Sean Hayes  series  noticias de televisin  show de variedades
"
1	"Ahora más que nunca , se sienten como una unidad .
"	"Ahora ms que nunca  se sienten como una unidad 
"
0	"Ellos sobrevivieron frente a otros seis finalistas durante 12 horas de juego la noche del lunes y la mañana del martes y comenzaron a jugar el No-Limit Texas Hold ' em nuevamente la noche del martes .
"	"Ellos sobrevivieron frente a otros seis finalistas durante  horas de juego la noche del lunes y la maana del martes y comenzaron a jugar el NoLimit Texas Hold  em nuevamente la noche del martes 
"
1	"Cocine unos minutos hasta que las cebollas se hayan suavizado , a continuación , añadir el ajo en laminas .
"	"Cocine unos minutos hasta que las cebollas se hayan suavizado  a continuacin  aadir el ajo en laminas 
"
1	"Los líderes mundiales se comprometieron con 800 medidas diferentes diseñadas para elevar su crecimiento económico combinado con un adicional de un 2,1 % por encima de la actual trayectoria en 2018 en comparación con 2013 - una medida que el FMI y la OCDE han calculado que sumaría más de US $ 2 billones ( 1,3bn £ ) y millones de puestos de trabajo para la economía global .
"	"Los lderes mundiales se comprometieron con  medidas diferentes diseadas para elevar su crecimiento econmico combinado con un adicional de un   por encima de la actual trayectoria en  en comparacin con   una medida que el FMI y la OCDE han calculado que sumara ms de US   billones  bn   y millones de puestos de trabajo para la economa global 
"
0	"La única razón para desembolsar $ 500 por un One en este punto es Titanfall , que sale a mediados de marzo y es verdaderamente increíble .
"	"La nica razn para desembolsar   por un One en este punto es Titanfall  que sale a mediados de marzo y es verdaderamente increble 
"
1	"Habló acerca de ver músicos trabajo y se preguntaba por qué no había nada como GitHub para que los utilice para almacenar las diferentes versiones de su trabajo .
"	"Habl acerca de ver msicos trabajo y se preguntaba por qu no haba nada como GitHub para que los utilice para almacenar las diferentes versiones de su trabajo 
"
1	"Tenemos el segundo mayor sistema de transporte en el país , por el número de usuarios , y está creciendo a un ritmo mucho más rápido que cualquier otro sistema en los EE.UU.
"	"Tenemos el segundo mayor sistema de transporte en el pas  por el nmero de usuarios  y est creciendo a un ritmo mucho ms rpido que cualquier otro sistema en los EEUU
"
1	"Tienes la oportunidad de trabajar junto a grandes compañeros de trabajo y para una empresa que es realmente una apasionada de las startups .
"	"Tienes la oportunidad de trabajar junto a grandes compaeros de trabajo y para una empresa que es realmente una apasionada de las startups 
"
1	"Eso es un montón , pero el comprador es cada vez esencialmente cada tipo de caso que uno quiera o necesite , para un iPhone .
"	"Eso es un montn  pero el comprador es cada vez esencialmente cada tipo de caso que uno quiera o necesite  para un iPhone 
"
1	"¡ Meggan Lambesis ha presentado una demanda civil contra de su marido por una suma de 2 millones de dólares !
"	" Meggan Lambesis ha presentado una demanda civil contra de su marido por una suma de  millones de dlares 
"
1	"Debido a que cuenta con una carga nutritiva por caloría que supera a casi cualquier otro alimento del planeta .
"	"Debido a que cuenta con una carga nutritiva por calora que supera a casi cualquier otro alimento del planeta 
"
1	"Debido a la atención que le prestan a hacer buenas herramientas para los músicos , Mac ha tenido un lugar especial en la escena de la grabación desde hace bastante tiempo .
"	"Debido a la atencin que le prestan a hacer buenas herramientas para los msicos  Mac ha tenido un lugar especial en la escena de la grabacin desde hace bastante tiempo 
"
1	"La fatiga y el letargo resultado en las funciones cognitivas deterioradas y un aumento en los errores críticos , por lo que los astronautas sólo tienen 6.5 "" encajar "" las horas de trabajo por día .
"	"La fatiga y el letargo resultado en las funciones cognitivas deterioradas y un aumento en los errores crticos  por lo que los astronautas slo tienen   encajar  las horas de trabajo por da 
"
1	"[ Pero ] él era tranquilo , ella era tranquila y ellos simplemente seguiran adelante .
"	" Pero  l era tranquilo  ella era tranquila y ellos simplemente seguiran adelante 
"
1	"Hospitalización De Miley Cyrus Es Más Grave De Lo Que Todos Imaginamos !
"	"Hospitalizacin De Miley Cyrus Es Ms Grave De Lo Que Todos Imaginamos 
"
1	"Ahora , Ellen DeGeneres ha decidido intervenir y tratar de resolver el asunto pidiendo al rapero buen día si se arrepentía de nada de lo que dijo ese día .
"	"Ahora  Ellen DeGeneres ha decidido intervenir y tratar de resolver el asunto pidiendo al rapero buen da si se arrepenta de nada de lo que dijo ese da 
"
1	"Las canciones elegidas son estándares de jazz poco conocidos de principios del siglo 20 .
"	"Las canciones elegidas son estndares de jazz poco conocidos de principios del siglo  
"
0	"- Ellen DeGeneres ( @ TheEllenShow ) 26 de mayo de 2014
"	" Ellen DeGeneres   TheEllenShow   de mayo de 
"
1	"Él se dará cuenta de su ausencia , obviamente , y luego a ver ella a su cuidado de otro niño ?
"	"l se dar cuenta de su ausencia  obviamente  y luego a ver ella a su cuidado de otro nio 
"
1	"¡ Sea o no que Porsha se encuentre a sí misma detrás de las rejas , esperemos que está amiga haya tomado esto como una lección para controlar su temperamento !
"	" Sea o no que Porsha se encuentre a s misma detrs de las rejas  esperemos que est amiga haya tomado esto como una leccin para controlar su temperamento 
"
1	"Y todo el mundo le encanta ver esa hermosa sonrisa de Barbados , pero lo que le sacó el máximo fue de anillos de sus pezones !
"	"Y todo el mundo le encanta ver esa hermosa sonrisa de Barbados  pero lo que le sac el mximo fue de anillos de sus pezones 
"
0	"Así que eché un vistazo a su teléfono y me pareció que el control de voz se había apoderado de éste .
"	"As que ech un vistazo a su telfono y me pareci que el control de voz se haba apoderado de ste 
"
0	"Frey , un abogado de derechos civiles que sabía poco sobre la seguridad cibernética , condujo Doyon de regreso a su campamento ladera .
"	"Frey  un abogado de derechos civiles que saba poco sobre la seguridad ciberntica  condujo Doyon de regreso a su campamento ladera 
"
1	""" Si no es así "" , dice "" puede ser que tengan que ponerse de acuerdo para ser adquirida por una empresa más grande para tener una solución que satisfaga a los inversionistas actuales .
"	" Si no es as   dice  puede ser que tengan que ponerse de acuerdo para ser adquirida por una empresa ms grande para tener una solucin que satisfaga a los inversionistas actuales 
"
1	"La novedad del mundo del arte hizo girar la cabeza de Josh .
"	"La novedad del mundo del arte hizo girar la cabeza de Josh 
"
1	"Destaqué un párrafo en casi cada página , y este en particular habla de por qué tengo para el tiempo libre , siempre evitado :
"	"Destaqu un prrafo en casi cada pgina  y este en particular habla de por qu tengo para el tiempo libre  siempre evitado 
"
1	"Algunos sospechaban que el Comandante X era un espía del gobierno .
"	"Algunos sospechaban que el Comandante X era un espa del gobierno 
"
0	"Nate nunca escribió ni me llamó esa noche , incluso después de que le envié un mensaje a las 11 pm para preguntar "" ¿ Qué pasa "" ( sin signo de interrogación - eso parecería demasiado desesperado ) .
"	"Nate nunca escribi ni me llam esa noche  incluso despus de que le envi un mensaje a las  pm para preguntar   Qu pasa   sin signo de interrogacin  eso parecera demasiado desesperado  
"
0	"Ella dijo , "" cool .
"	"Ella dijo   cool 
"
1	"Yo realmente , honesta y verdaderamente y sin una pizca de evidencia creo que es él "" .
"	"Yo realmente  honesta y verdaderamente y sin una pizca de evidencia creo que es l  
"
1	"No es necesario usar mucho aceite de oliva , por lo que todo lo que servimos aquí pude ser muy sabroso sin necesidad de usar demasiadas grasas .
"	"No es necesario usar mucho aceite de oliva  por lo que todo lo que servimos aqu pude ser muy sabroso sin necesidad de usar demasiadas grasas 
"
1	"Al ser bueno con las manos , dijo , se asegura de su trabajo y sus habilidades son siempre de la demanda .
"	"Al ser bueno con las manos  dijo  se asegura de su trabajo y sus habilidades son siempre de la demanda 
"
0	"Y era evidente que lo hizo .
"	"Y era evidente que lo hizo 
"
1	"Esto es interesante para mí en un número de niveles .
"	"Esto es interesante para m en un nmero de niveles 
"
1	"Se espera que pueda definir su identidad exacta , porque sólo entonces compartirá su URL en Facebook y Twitter y Tumblr como una especie de insignia de su propia singularidad , la inmortalidad .
"	"Se espera que pueda definir su identidad exacta  porque slo entonces compartir su URL en Facebook y Twitter y Tumblr como una especie de insignia de su propia singularidad  la inmortalidad 
"
1	"La contraseña se guarda en su dispositivo móvil mediante AES , cifrado acelerado por hardware .
"	"La contrasea se guarda en su dispositivo mvil mediante AES  cifrado acelerado por hardware 
"
1	"El miércoles es feriado por el día nacional de China , y se esperan aún más grandes multitudes que inundan las calles .
"	"El mircoles es feriado por el da nacional de China  y se esperan an ms grandes multitudes que inundan las calles 
"
1	"Hacer una escena por no ser capaz de conseguir bebidas en el bar abierto .
"	"Hacer una escena por no ser capaz de conseguir bebidas en el bar abierto 
"
1	"A veces también traigo una pequeña vela votiva a pilas .
"	"A veces tambin traigo una pequea vela votiva a pilas 
"
0	"Lo que los organizadores del ROFLCon querían decir con "" impresionante "" fue , por ejemplo , el tipo Tron , un hombre que es famoso en línea , por haber publicado fotos de sí mismo vestido con un traje fabricado y personalizado inspirado en una película de 1980 de ciencia-ficción .
"	"Lo que los organizadores del ROFLCon queran decir con  impresionante  fue  por ejemplo  el tipo Tron  un hombre que es famoso en lnea  por haber publicado fotos de s mismo vestido con un traje fabricado y personalizado inspirado en una pelcula de  de cienciaficcin 
"
1	"Louis continuó diciendo estar en el ojo público y que una relación era un poco más difícil de lo que uno puede pensar !
"	"Louis continu diciendo estar en el ojo pblico y que una relacin era un poco ms difcil de lo que uno puede pensar 
"
1	"Sólo unos días después de un encuentro incómodo para el estreno en Londres , los dos fueron vistos comprimir alrededor de la ciudad en su pequeña moto Vespa con cascos a juego el fin de semana !
"	"Slo unos das despus de un encuentro incmodo para el estreno en Londres  los dos fueron vistos comprimir alrededor de la ciudad en su pequea moto Vespa con cascos a juego el fin de semana 
"
1	"Shakira es taaaan afortunada de tener un compañero tan increíble !
"	"Shakira es taaaan afortunada de tener un compaero tan increble 
"
1	"Finalmente la mujer a cargo asomó la cabeza por la puerta de la pequeña habitación y llamó a todo el mundo en : nosotros y otros grupos se reunieron para otros dos pianistas .
"	"Finalmente la mujer a cargo asom la cabeza por la puerta de la pequea habitacin y llam a todo el mundo en  nosotros y otros grupos se reunieron para otros dos pianistas 
"
1	"El mes pasado , se informó que Facebook tenía intenciones de comprar Little Eye Labs , compañía incipiente de la India que elabora una herramienta de software para el análisis del desempeño de aplicaciones para Android .
"	"El mes pasado  se inform que Facebook tena intenciones de comprar Little Eye Labs  compaa incipiente de la India que elabora una herramienta de software para el anlisis del desempeo de aplicaciones para Android 
"
1	"Una forma de verlo es considerar solo los nombres de empresas en la mesa y ver cuándo estaban en mi mente y cuando no .
"	"Una forma de verlo es considerar solo los nombres de empresas en la mesa y ver cundo estaban en mi mente y cuando no 
"
0	"Las 23 Cosas Todas las mujeres piensan de penes
"	"Las  Cosas Todas las mujeres piensan de penes
"
1	"Nuestros iPads son nuestras pantallas de vídeo personales , para que nosotros sostenemos y el tacto .
"	"Nuestros iPads son nuestras pantallas de vdeo personales  para que nosotros sostenemos y el tacto 
"
0	"Kimono Labs : raspado web y en un click
"	"Kimono Labs  raspado web y en un click
"
1	"Su fecha estimada de entrega es el noviembre .
"	"Su fecha estimada de entrega es el noviembre 
"
1	"Totalmente desconcertante y desorientadora .
"	"Totalmente desconcertante y desorientadora 
"
1	"Otras empresas tecnológicas parecen mejor preparados para beneficiarse del resurgimiento del interés en las OPI de China desde el año 2012 , cuando los precios de las acciones cayeron después de varias empresas se retiraron del mercado de valores de EE.UU. en respuesta a las acusaciones de irregularidades contables por los reguladores .
"	"Otras empresas tecnolgicas parecen mejor preparados para beneficiarse del resurgimiento del inters en las OPI de China desde el ao   cuando los precios de las acciones cayeron despus de varias empresas se retiraron del mercado de valores de EEUU en respuesta a las acusaciones de irregularidades contables por los reguladores 
"
0	"Yo no estaba preocupado particulalry porque sabía que David estaba decidido a quedarse allí y Yahoo !
"	"Yo no estaba preocupado particulalry porque saba que David estaba decidido a quedarse all y Yahoo 
"
1	"Una cometa desquiciado con un deseo de muerte .
"	"Una cometa desquiciado con un deseo de muerte 
"
1	"Los laboratorios Rufus esperan eventualmente crear un ecosistema de productos que permitirán que el Rufus Cuff reemplace tu smartphone , llaves y la billetera .
"	"Los laboratorios Rufus esperan eventualmente crear un ecosistema de productos que permitirn que el Rufus Cuff reemplace tu smartphone  llaves y la billetera 
"
1	"Usted está cerrando las puertas a los tipos de experiencias y emociones que surgen de cuidar profundamente sobre otra persona .
"	"Usted est cerrando las puertas a los tipos de experiencias y emociones que surgen de cuidar profundamente sobre otra persona 
"
1	"¡ La estrella pop de 21 años
"	" La estrella pop de  aos
"
1	""" No se trata de hacer clic , se trata de controlar su contenido .
"	" No se trata de hacer clic  se trata de controlar su contenido 
"
0	"@ CFLancop ¿ viste lo que @ dooce escribió ?
"	" CFLancop  viste lo que  dooce escribi 
"
1	"Los ingresos de la empresa fueron de $ 15,6 millones en 2010 , $ 31.8 millones en 2011 , $ 66,6 millones en 2012 , y durante los primeros nueve meses de 2013 , $ 70.3 millones .
"	"Los ingresos de la empresa fueron de   millones en     millones en     millones en   y durante los primeros nueve meses de     millones 
"
1	"Y adivinen quién está a bordo de Nike ?
"	"Y adivinen quin est a bordo de Nike 
"
1	"( Eso sería particularmente divertido desde Klout informes , ha sido adquirida por Lithium Technologies por 200 millones .
"	" Eso sera particularmente divertido desde Klout informes  ha sido adquirida por Lithium Technologies por  millones 
"
1	"Fui a la universidad temprano , y me enteré de que un buen rendimiento no siempre se basa en ser inteligente .
"	"Fui a la universidad temprano  y me enter de que un buen rendimiento no siempre se basa en ser inteligente 
"
1	"Y con Nokia enviando solamente unos 30 millones de dispositivos Lumia durante todo el 2013 la diversificación parece prudente .
"	"Y con Nokia enviando solamente unos  millones de dispositivos Lumia durante todo el  la diversificacin parece prudente 
"
1	"Aquí hay 10 razones por las que podríamos estar teniendo un ataque de pánico .
"	"Aqu hay  razones por las que podramos estar teniendo un ataque de pnico 
"
1	"Pero independientemente hemos investido en varias startups que reunieron millones de usuarios rápidamente , y en algunos casos decenas de millones en menos de un año ( por ejemplo : 9gag , PicCollage , Cubie ) .
"	"Pero independientemente hemos investido en varias startups que reunieron millones de usuarios rpidamente  y en algunos casos decenas de millones en menos de un ao  por ejemplo  gag  PicCollage  Cubie  
"
1	"Damon Stang , uno de los adivinos , simpáticamente me señaló que él personalmente no estaba de acuerdo con los hechizos "" coercitivas "" , el tipo que les obliga unos sentimientos a las personas .
"	"Damon Stang  uno de los adivinos  simpticamente me seal que l personalmente no estaba de acuerdo con los hechizos  coercitivas   el tipo que les obliga unos sentimientos a las personas 
"
1	"Mi pierna está calambres .
"	"Mi pierna est calambres 
"
1	"Así , con un año de edad , Aida , desembarcaron con sus maletas fuera de Camden ayuntamiento .
"	"As  con un ao de edad  Aida  desembarcaron con sus maletas fuera de Camden ayuntamiento 
"
1	"O , como mi amigo Marc Andreessen podría decir , los Software absorben todo el capital privado del mundo .
"	"O  como mi amigo Marc Andreessen podra decir  los Software absorben todo el capital privado del mundo 
"
1	"Major oopsie por su parte , ya que el maestro realmente encontró el tweet y decidió utilizarlo como parte de su lección de un EPIC acabar en la gramática incorrecta del estudiante !
"	"Major oopsie por su parte  ya que el maestro realmente encontr el tweet y decidi utilizarlo como parte de su leccin de un EPIC acabar en la gramtica incorrecta del estudiante 
"
1	"Más de una vez , se había levantado de la cama y dado vueltas por el pasillo y en las habitaciones de otros pacientes .
"	"Ms de una vez  se haba levantado de la cama y dado vueltas por el pasillo y en las habitaciones de otros pacientes 
"
1	"¡ Y qué IGUALDAD años está teniendo !
"	" Y qu IGUALDAD aos est teniendo 
"
1	"Después de que aparezca la página web , simplemente pulse "" registro "" para que el documento de aplicación las pulsaciones del teclado y guardar su actual flujo de trabajo de inicio de sesión .
"	"Despus de que aparezca la pgina web  simplemente pulse  registro  para que el documento de aplicacin las pulsaciones del teclado y guardar su actual flujo de trabajo de inicio de sesin 
"
1	"Eso incluye visualización en línea , búsqueda y anuncios sociales , así como televisión , prensa , relaciones públicas y eventos .
"	"Eso incluye visualizacin en lnea  bsqueda y anuncios sociales  as como televisin  prensa  relaciones pblicas y eventos 
"
1	"Hay mucha gente por ahí que tiene una visión pesimista de Facebook .
"	"Hay mucha gente por ah que tiene una visin pesimista de Facebook 
"
0	"( No me malinterpreten - ella era sin duda orgulloso de mí .
"	" No me malinterpreten  ella era sin duda orgulloso de m 
"
1	"Según Kantar , Android sigue siendo un gigante desmesurado con el 70 % de las ventas de smartphones y tablets mientras que el iPhone 5c sobrevive haciendo malabares .
"	"Segn Kantar  Android sigue siendo un gigante desmesurado con el   de las ventas de smartphones y tablets mientras que el iPhone c sobrevive haciendo malabares 
"
1	"Esos habrían sido dos puestos de trabajo que la mayoría de nosotros pensaría que se sentirían como uno de esos logros que cambian tu vida .
"	"Esos habran sido dos puestos de trabajo que la mayora de nosotros pensara que se sentiran como uno de esos logros que cambian tu vida 
"
1	"Bueno o malo , es parte de nosotros , y esto no es menos natural de lo que es natural .
"	"Bueno o malo  es parte de nosotros  y esto no es menos natural de lo que es natural 
"
1	"Ha pasado más de un día desde Y Combinator ' s Winter 2014 , y ya hemos hecho pesó sobre las empresas que nos parecían más impresionante .
"	"Ha pasado ms de un da desde Y Combinator  s Winter   y ya hemos hecho pes sobre las empresas que nos parecan ms impresionante 
"
1	"Aviso : Para solicitar este empleo , tienes que estar preparado para cualquier cosa .
"	"Aviso  Para solicitar este empleo  tienes que estar preparado para cualquier cosa 
"
0	"Definitivamente podemos ver por qué iba a pintar ese cuadro en todo caso !
"	"Definitivamente podemos ver por qu iba a pintar ese cuadro en todo caso 
"
0	"Sus padres siempre creyeron que podía hacer cualquier cosa que ella propusiera si ella aprendió a enfocar su energía increíble .
"	"Sus padres siempre creyeron que poda hacer cualquier cosa que ella propusiera si ella aprendi a enfocar su energa increble 
"
1	"Hasta que sus padres se durmieron , y entonces viste algo inapropiado .
"	"Hasta que sus padres se durmieron  y entonces viste algo inapropiado 
"
1	"Diremos , sin embargo , que esas empresas son bastante buenos .
"	"Diremos  sin embargo  que esas empresas son bastante buenos 
"
1	"El Proveedor de seguro de Negocios Simply Business ha creado esta infografía , que sólo está disponible aquí en TechCrunch .
"	"El Proveedor de seguro de Negocios Simply Business ha creado esta infografa  que slo est disponible aqu en TechCrunch 
"
1	"Al estilo de Potato Head , la palabra "" millenial "" fue usada muy a menudo .
"	"Al estilo de Potato Head  la palabra  millenial  fue usada muy a menudo 
"
1	"Riesgo : Agregado como conservante , los parabenos han sido vinculados a los tumores de cáncer de mama .
"	"Riesgo  Agregado como conservante  los parabenos han sido vinculados a los tumores de cncer de mama 
"
1	"Nancy trabajó en Glee , por lo que varios de sus compañeros de trabajo de la exitosa Fox-show incluida Jane Lynch , estaban allí para presentar sus respetos .
"	"Nancy trabaj en Glee  por lo que varios de sus compaeros de trabajo de la exitosa Foxshow incluida Jane Lynch  estaban all para presentar sus respetos 
"
0	"Ser CEO de Google es un "" trabajo fácil "" en comparación con Yahoo , dice .
"	"Ser CEO de Google es un  trabajo fcil  en comparacin con Yahoo  dice 
"
1	"¿ Cómo se obtiene el valor para actuar ?
"	" Cmo se obtiene el valor para actuar 
"
1	"Una razón fundamental para el rápido crecimiento de la compañía es que las plataformas de comercio electrónico de Alibaba Group , incluyendo la plataforma C2C Taobao.com , han permitido que las pequeñas-y medianas empresas prosperen .
"	"Una razn fundamental para el rpido crecimiento de la compaa es que las plataformas de comercio electrnico de Alibaba Group  incluyendo la plataforma CC Taobaocom  han permitido que las pequeasy medianas empresas prosperen 
"
1	"No hay duda sobre el hecho de que el presidente Fitzgerald Subvención III es un hombre muy atractivo , y se quita un traje y corbata tan bien que Justin Timberlake debe mirarlo y tomar notas .
"	"No hay duda sobre el hecho de que el presidente Fitzgerald Subvencin III es un hombre muy atractivo  y se quita un traje y corbata tan bien que Justin Timberlake debe mirarlo y tomar notas 
"
0	"Además , ese video obviamente fue diseñado para su uso personal , no para el público !
"	"Adems  ese video obviamente fue diseado para su uso personal  no para el pblico 
"
1	"Los bloggers podrían ganar comisiones .
"	"Los bloggers podran ganar comisiones 
"
1	"La datación por los anillos sin duda hizo un gran revuelo cuando anunció planes para crowdfund aviones llenos de mujeres que se entregarán a partir de la ciudad de Nueva York para chicos solitarios San Francisco .
"	"La datacin por los anillos sin duda hizo un gran revuelo cuando anunci planes para crowdfund aviones llenos de mujeres que se entregarn a partir de la ciudad de Nueva York para chicos solitarios San Francisco 
"
