hotel,is_canceled,lead_time,adults,children,market_segment,country,reserved_room_type,booking_changes,adr,customer_type
City Hotel,0,15,2,0,Online TA,PRT,D,0,170,Transient
Resort Hotel,1,36,1,0,Corporate,PRT,A,0,40,Transient-Party
City Hotel,0,0,2,0,Direct,PRT,A,0,0,Transient
City Hotel,0,221,2,0,Offline TA/TO,FRA,A,0,65,Transient-Party
Resort Hotel,1,139,2,0,Online TA,TUR,A,0,160,Transient
City Hotel,0,66,2,0,Online TA,SWE,A,0,142,Transient
City Hotel,0,102,1,0,Offline TA/TO,DEU,A,0,87,Transient-Party
City Hotel,0,12,2,0,Online TA,ESP,A,0,88,Transient
City Hotel,1,78,2,0,Groups,PRT,A,0,90,Transient
City Hotel,1,21,1,0,Corporate,PRT,A,0,67,Transient
City Hotel,1,333,2,0,Offline TA/TO,PRT,A,0,90,Transient
Resort Hotel,0,0,1,0,Direct,PRT,A,0,70,Transient
City Hotel,0,28,2,0,Online TA,PRT,A,0,89,Transient
Resort Hotel,1,8,2,0,Offline TA/TO,PRT,E,0,146,Transient
Resort Hotel,0,318,2,0,Offline TA/TO,GBR,E,0,103.7,Transient
City Hotel,1,92,2,0,Online TA,ITA,A,0,90.95,Transient
City Hotel,0,40,2,0,Offline TA/TO,DEU,A,0,85.5,Transient
City Hotel,0,377,2,0,Offline TA/TO,DEU,A,0,115,Transient-Party
City Hotel,1,262,2,0,Groups,PRT,A,0,62.8,Transient
City Hotel,1,351,1,0,Groups,PRT,A,0,59,Transient
City Hotel,0,9,2,0,Direct,FRA,D,0,166.67,Transient
City Hotel,0,95,2,0,Online TA,BEL,A,0,119.85,Transient
City Hotel,0,184,2,0,Online TA,DEU,A,2,130.5,Transient
City Hotel,0,8,3,0,Direct,PRT,D,1,215.18,Transient
City Hotel,1,66,2,0,Online TA,ITA,D,2,126,Transient
City Hotel,0,32,2,0,Online TA,BRA,A,0,116.1,Transient
City Hotel,0,110,2,1,Online TA,IND,A,1,96.3,Transient
Resort Hotel,0,13,2,0,Offline TA/TO,GBR,A,1,48,Transient
City Hotel,1,121,2,0,Online TA,GBR,A,0,125,Transient
Resort Hotel,0,12,2,0,Online TA,GBR,D,0,76,Transient
Resort Hotel,1,318,2,0,Online TA,PRT,A,0,74.25,Transient
Resort Hotel,0,35,1,0,Corporate,AUT,A,2,36,Transient-Party
City Hotel,1,92,2,0,Groups,PRT,A,0,85,Transient
City Hotel,0,0,1,0,Offline TA/TO,ITA,A,0,510,Transient
Resort Hotel,0,4,1,0,Corporate,PRT,A,0,57,Transient
City Hotel,0,198,2,0,Online TA,BEL,A,0,90.95,Transient
City Hotel,0,158,2,0,Online TA,CHE,A,0,75.6,Transient
City Hotel,0,32,2,1,Online TA,HRV,A,0,126,Transient
City Hotel,1,316,2,0,Online TA,PRT,A,0,109.8,Transient
Resort Hotel,1,304,2,0,Groups,PRT,A,0,66,Transient
Resort Hotel,0,244,2,0,Offline TA/TO,GBR,A,0,136.85,Contract
City Hotel,1,179,2,0,Groups,PRT,A,0,65,Transient
City Hotel,1,31,2,0,Online TA,USA,A,2,126.67,Transient
City Hotel,0,64,2,0,Online TA,ITA,A,0,65.75,Transient
City Hotel,1,74,2,0,Online TA,GBR,A,0,144,Transient
Resort Hotel,0,116,2,0,Online TA,GBR,A,0,54.84,Transient
Resort Hotel,0,83,2,0,Online TA,MYS,A,3,37.8,Transient
City Hotel,1,37,2,0,Offline TA/TO,PRT,A,0,105,Transient-Party
City Hotel,1,172,2,0,Online TA,NOR,F,0,180.9,Transient
City Hotel,0,63,2,0,Online TA,ITA,A,0,80.3,Transient-Party
City Hotel,1,342,2,0,Groups,PRT,A,0,170,Transient
Resort Hotel,0,45,2,0,Online TA,DEU,A,0,64,Transient
Resort Hotel,0,30,2,0,Offline TA/TO,PRT,D,0,66,Transient
City Hotel,1,29,2,1,Online TA,FRA,A,0,126,Transient
City Hotel,0,22,2,0,Online TA,FRA,A,0,74.8,Transient
City Hotel,1,65,2,0,Groups,PRT,A,0,86,Transient
City Hotel,0,217,2,1,Online TA,DEU,A,0,135,Transient
Resort Hotel,0,156,1,0,Groups,DEU,A,1,30,Transient-Party
Resort Hotel,0,11,2,0,Offline TA/TO,ESP,A,0,34,Transient
Resort Hotel,0,32,1,0,Corporate,PRT,A,0,50,Transient-Party
City Hotel,1,35,2,0,Offline TA/TO,PRT,A,1,5400,Transient
Resort Hotel,0,328,2,0,Offline TA/TO,GBR,D,0,121.5,Contract
Resort Hotel,0,50,2,2,Online TA,PRT,G,0,118,Transient
City Hotel,0,20,2,2,Online TA,ESP,F,0,199.33,Transient
City Hotel,1,179,2,0,Online TA,ITA,A,0,118.8,Transient
City Hotel,0,3,2,0,Corporate,CHN,A,0,100,Transient-Party
Resort Hotel,0,121,2,0,Offline TA/TO,BRA,A,0,58.95,Contract
City Hotel,0,2,1,0,Online TA,PRT,A,0,133,Transient
City Hotel,0,74,1,0,Online TA,JPN,A,0,133.8,Transient
City Hotel,1,176,2,0,Offline TA/TO,PRT,A,0,125,Transient
City Hotel,0,0,2,0,Online TA,PRT,A,0,130,Transient
City Hotel,0,106,2,0,Online TA,ITA,D,0,111.3,Transient
City Hotel,0,30,1,0,Online TA,NLD,A,0,88.4,Transient
City Hotel,1,54,1,0,Direct,PRT,A,0,81,Transient-Party
Resort Hotel,0,1,1,0,Online TA,BEL,A,0,31.21,Transient
City Hotel,0,2,1,0,Direct,JPN,D,1,145,Transient
Resort Hotel,0,30,1,0,Groups,GBR,A,1,55,Transient-Party
Resort Hotel,0,14,1,0,Online TA,BEL,A,0,34.4,Transient
Resort Hotel,0,20,3,1,Online TA,ESP,H,0,117,Transient
Resort Hotel,0,0,2,0,Direct,GBR,A,1,195,Transient-Party
Resort Hotel,0,170,2,0,Online TA,CN,A,0,84.7,Transient
Resort Hotel,0,84,2,0,Online TA,PRT,D,1,225.14,Transient-Party
City Hotel,0,90,2,0,Online TA,BEL,A,0,119.25,Transient
City Hotel,0,0,2,0,Online TA,PRT,A,1,12,Transient
Resort Hotel,0,0,1,0,Corporate,PRT,A,0,35,Transient
City Hotel,0,9,2,0,Offline TA/TO,FRA,A,0,100,Transient
Resort Hotel,0,7,1,0,Online TA,PRT,A,0,49.6,Transient-Party
City Hotel,1,16,2,0,Online TA,ISR,A,0,109,Transient
City Hotel,0,11,2,0,Direct,LUX,A,0,77,Transient
City Hotel,1,172,1,0,Offline TA/TO,PRT,A,0,95,Transient-Party
City Hotel,1,19,2,0,Online TA,FRA,A,0,126.67,Transient
Resort Hotel,0,88,2,0,Corporate,GBR,A,2,42,Transient-Party
City Hotel,0,2,1,0,Offline TA/TO,DEU,A,0,61.38,Transient-Party
City Hotel,0,53,2,0,Offline TA/TO,FRA,A,0,60,Transient
Resort Hotel,0,25,2,2,Online TA,ESP,C,0,214,Transient
City Hotel,0,221,2,0,Offline TA/TO,DEU,A,0,96,Transient-Party
City Hotel,0,2,2,0,Offline TA/TO,PRT,A,0,85,Transient-Party
City Hotel,1,122,2,1,Online TA,FRA,A,0,113.78,Transient
City Hotel,1,45,3,0,Online TA,IRL,D,0,131.4,Transient
City Hotel,1,303,2,0,Offline TA/TO,PRT,A,0,78,Transient-Party
Resort Hotel,0,254,2,0,Groups,CN,A,0,36,Transient-Party
City Hotel,0,23,2,0,Online TA,HUN,D,1,119.36,Transient
City Hotel,0,268,2,1,Direct,BEL,A,0,102.1,Transient
City Hotel,1,81,2,0,Online TA,NOR,D,0,150,Transient
Resort Hotel,0,1,3,0,Direct,PRT,H,0,81,Transient
City Hotel,0,109,2,0,Online TA,CHE,A,0,120,Transient
Resort Hotel,0,3,3,0,Offline TA/TO,GBR,D,0,91.6,Transient
City Hotel,1,141,2,0,Online TA,FRA,A,0,164.7,Transient
Resort Hotel,0,1,1,0,Online TA,PRT,D,1,38,Transient
City Hotel,1,201,2,0,Online TA,HUN,A,0,96.3,Transient
City Hotel,0,12,1,0,Complementary,PRT,A,0,0,Transient
City Hotel,0,0,1,0,Direct,PRT,A,0,170,Transient
City Hotel,0,12,2,0,Direct,PRT,A,0,85,Transient
City Hotel,0,13,2,0,Offline TA/TO,GBR,A,0,64,Transient
Resort Hotel,0,1,1,0,Corporate,PRT,A,0,35,Transient
Resort Hotel,0,63,3,0,Offline TA/TO,ESP,E,0,196.54,Transient
City Hotel,0,88,2,0,Corporate,POL,A,0,90,Transient-Party
Resort Hotel,0,19,2,0,Online TA,IRL,F,1,161.6,Transient
City Hotel,0,26,1,0,Direct,NLD,A,1,164,Transient
Resort Hotel,1,177,1,0,Online TA,PRT,A,0,25.11,Transient
City Hotel,0,190,2,0,Online TA,DEU,D,0,90.65,Transient
Resort Hotel,1,265,2,0,Online TA,PRT,A,1,81,Transient
City Hotel,1,221,2,0,Groups,PRT,A,0,86,Transient-Party
Resort Hotel,0,77,2,0,Online TA,GBR,A,0,52.27,Transient
City Hotel,0,429,2,0,Groups,FRA,A,0,65,Transient-Party
Resort Hotel,0,91,2,0,Online TA,PRT,A,1,203,Transient-Party
City Hotel,0,17,2,0,Offline TA/TO,DEU,A,0,46.4,Transient
City Hotel,0,15,2,0,Online TA,BEL,A,0,93,Transient-Party
City Hotel,0,142,1,0,Online TA,DEU,A,0,89.1,Transient
Resort Hotel,0,164,2,0,Offline TA/TO,GBR,A,0,104.85,Contract
Resort Hotel,0,383,1,0,Groups,GBR,A,1,48,Transient-Party
City Hotel,1,17,2,0,Online TA,NLD,D,0,150,Transient
Resort Hotel,0,132,1,0,Offline TA/TO,GBR,A,0,116.5,Contract
City Hotel,0,3,1,0,Corporate,PRT,A,1,65,Transient
City Hotel,0,396,2,0,Offline TA/TO,DEU,A,0,122.4,Transient-Party
City Hotel,0,192,3,0,Online TA,PRT,D,0,119,Transient
City Hotel,0,208,2,0,Offline TA/TO,BEL,A,0,80.24,Contract
City Hotel,0,85,2,0,Offline TA/TO,SWE,A,1,85,Transient-Party
Resort Hotel,1,111,2,0,Groups,PRT,A,0,70,Transient
City Hotel,0,111,2,2,Online TA,DEU,F,0,189,Transient
City Hotel,1,77,2,0,Online TA,ESP,A,0,95.7,Transient
Resort Hotel,1,164,2,2,Online TA,ROU,G,0,232.25,Transient
Resort Hotel,1,224,2,1,Online TA,ESP,E,0,90,Transient
City Hotel,1,78,3,0,Online TA,POL,D,0,190,Transient
City Hotel,1,28,2,0,Groups,PRT,A,0,95,Transient
City Hotel,1,287,2,0,Online TA,DEU,A,0,106.2,Transient
City Hotel,1,72,2,0,Groups,PRT,A,0,90,Transient
City Hotel,0,34,2,0,Online TA,ESP,A,1,103.05,Contract
Resort Hotel,0,1,2,0,Online TA,PRT,E,0,68,Transient
Resort Hotel,0,0,1,0,Corporate,PRT,A,0,65,Transient
City Hotel,1,41,1,0,Direct,PRT,D,0,120,Transient
City Hotel,0,71,1,0,Offline TA/TO,DEU,A,0,98,Transient-Party
City Hotel,0,254,2,0,Online TA,PRT,A,0,98.25,Transient
Resort Hotel,1,18,2,2,Online TA,PRT,G,0,165,Transient
City Hotel,1,162,1,0,Groups,PRT,A,0,80,Transient
City Hotel,1,97,1,0,Groups,PRT,A,0,79.43,Transient
City Hotel,0,0,2,0,Direct,IRQ,A,0,98,Transient
City Hotel,0,5,2,0,Offline TA/TO,GBR,E,0,119,Transient
City Hotel,1,86,2,0,Offline TA/TO,PRT,A,0,120,Transient-Party
City Hotel,0,276,2,1,Online TA,TUR,A,0,100.3,Transient
City Hotel,0,265,2,0,Groups,AUT,A,0,99,Transient-Party
City Hotel,1,14,1,0,Online TA,AGO,D,0,132,Transient
Resort Hotel,0,133,2,2,Direct,FRA,C,0,263.57,Transient
City Hotel,1,108,2,0,Direct,ITA,A,0,116.1,Transient
City Hotel,1,45,3,0,Online TA,PRT,D,0,96.99,Transient
Resort Hotel,0,132,2,0,Online TA,DEU,D,0,71.7,Transient
City Hotel,1,297,2,0,Groups,PRT,A,0,62,Contract
City Hotel,1,69,2,0,Groups,PRT,A,0,62,Transient-Party
City Hotel,0,25,1,0,Online TA,PRT,A,0,66.22,Transient
City Hotel,1,18,1,0,Groups,PRT,A,0,110,Transient
Resort Hotel,1,92,2,0,Groups,PRT,A,0,79,Transient
Resort Hotel,0,30,2,0,Direct,DEU,D,0,251,Transient
City Hotel,0,423,2,0,Offline TA/TO,DEU,A,0,122.4,Transient-Party
City Hotel,0,9,2,0,Online TA,FRA,A,0,107,Transient
City Hotel,1,102,2,0,Online TA,PRT,D,0,147.25,Transient
Resort Hotel,1,232,2,0,Online TA,ITA,E,0,55.8,Transient
Resort Hotel,0,80,2,0,Groups,ESP,A,0,68,Transient-Party
Resort Hotel,1,199,2,0,Online TA,PRT,A,0,123.2,Transient
City Hotel,1,87,2,0,Online TA,ESP,A,0,90.9,Transient
City Hotel,0,5,1,0,Corporate,PRT,A,0,80,Transient-Party
City Hotel,1,124,2,0,Online TA,ITA,A,0,94.5,Transient
City Hotel,0,35,1,0,Direct,FRA,E,1,88.98,Transient
Resort Hotel,0,172,2,0,Offline TA/TO,ESP,A,1,126.8,Transient-Party
Resort Hotel,0,296,2,0,Offline TA/TO,GBR,A,2,40.95,Contract
City Hotel,1,1,2,0,Online TA,PRT,A,0,79,Transient
Resort Hotel,1,134,2,0,Offline TA/TO,PRT,A,0,56.7,Transient
Resort Hotel,0,230,2,0,Online TA,IRL,E,0,90.86,Transient
City Hotel,0,114,2,0,Online TA,NLD,A,0,129.6,Transient
Resort Hotel,0,89,2,0,Online TA,IRL,D,0,71.8,Transient
City Hotel,1,5,1,0,Groups,PRT,A,1,220,Transient-Party
City Hotel,1,140,2,0,Online TA,BRA,E,0,162,Transient
Resort Hotel,0,203,2,0,Groups,AUT,A,2,90,Transient-Party
Resort Hotel,0,1,2,0,Online TA,NLD,E,0,68,Transient
City Hotel,0,88,2,0,Offline TA/TO,ITA,A,0,56.1,Transient-Party
City Hotel,1,77,2,0,Online TA,GBR,A,0,120,Transient
City Hotel,1,302,2,0,Offline TA/TO,PRT,A,0,105,Transient
City Hotel,1,280,2,0,Offline TA/TO,PRT,A,0,110,Transient
Resort Hotel,0,247,2,0,Offline TA/TO,GBR,D,0,73.49,Transient
City Hotel,1,112,2,0,Online TA,DEU,A,0,134.1,Transient
Resort Hotel,0,280,2,0,Online TA,AUT,D,0,125.83,Transient
City Hotel,1,88,2,0,Groups,PRT,A,0,140,Transient
Resort Hotel,0,0,2,2,Online TA,PRT,G,0,104,Transient
City Hotel,0,23,2,0,Offline TA/TO,DEU,A,0,68,Transient
City Hotel,1,123,2,0,Online TA,GBR,D,0,143.1,Transient
City Hotel,0,47,2,0,Online TA,FRA,D,0,119.52,Transient
City Hotel,0,56,2,0,Offline TA/TO,FRA,A,0,75,Transient
City Hotel,0,136,2,0,Online TA,CHE,A,0,131.75,Transient-Party
Resort Hotel,1,55,1,0,Online TA,DEU,D,0,89,Transient
City Hotel,0,71,2,0,Offline TA/TO,GBR,A,0,72.25,Transient
City Hotel,1,31,2,0,Online TA,NGA,A,0,74.8,Transient
City Hotel,0,5,2,0,Online TA,FRA,D,0,184,Transient
City Hotel,1,0,2,0,Direct,PRT,C,0,89,Transient
Resort Hotel,0,74,2,0,Online TA,FRA,E,0,99,Transient
City Hotel,0,2,1,0,Offline TA/TO,DEU,A,1,66.88,Transient-Party
Resort Hotel,1,247,2,0,Groups,ESP,A,0,81,Transient
Resort Hotel,0,124,2,2,Direct,NLD,C,0,89.67,Transient
Resort Hotel,0,96,1,0,Groups,GBR,A,0,33.27,Transient-Party
Resort Hotel,1,91,2,0,Online TA,ESP,G,3,137.5,Transient-Party
City Hotel,0,27,2,0,Direct,PRT,A,0,75,Transient
City Hotel,1,162,2,0,Groups,PRT,A,0,140,Transient
Resort Hotel,0,0,2,0,Online TA,DEU,A,1,110,Transient-Party
City Hotel,0,75,2,0,Groups,ESP,A,0,62,Transient-Party
City Hotel,0,149,2,0,Corporate,USA,A,1,154,Transient-Party
City Hotel,1,23,2,0,Offline TA/TO,ESP,A,0,166.5,Transient
City Hotel,0,2,1,0,Direct,PRT,A,1,79,Transient
City Hotel,0,115,2,0,Offline TA/TO,DEU,A,0,89.1,Transient
City Hotel,0,181,2,0,Offline TA/TO,SWE,A,0,80.1,Transient
City Hotel,1,626,2,0,Groups,PRT,A,0,62.8,Transient
City Hotel,1,226,2,0,Online TA,CHE,D,0,105,Transient
Resort Hotel,0,239,2,0,Offline TA/TO,FRA,A,0,80,Transient-Party
City Hotel,0,132,2,0,Offline TA/TO,NLD,A,0,89.76,Transient
Resort Hotel,1,259,2,0,Groups,GBR,A,0,40.05,Transient
Resort Hotel,0,38,2,0,Online TA,ESP,A,0,171.9,Transient
City Hotel,0,63,2,0,Offline TA/TO,ITA,A,0,116,Transient-Party
City Hotel,0,29,1,0,Offline TA/TO,DEU,D,1,59.29,Transient
Resort Hotel,0,97,2,0,Offline TA/TO,DEU,D,0,59,Transient
Resort Hotel,0,30,2,0,Direct,ESP,A,0,50,Transient
Resort Hotel,0,40,2,0,Online TA,PRT,A,0,54,Transient
City Hotel,0,161,2,0,Online TA,FRA,D,3,139.5,Transient
Resort Hotel,0,57,2,0,Online TA,FRA,A,0,69.94,Transient-Party
Resort Hotel,0,87,3,0,Online TA,GBR,E,1,125.33,Transient
Resort Hotel,0,40,1,0,Groups,ESP,A,0,55,Transient-Party
Resort Hotel,0,273,2,0,Direct,GBR,D,0,77.64,Transient-Party
City Hotel,0,82,1,0,Offline TA/TO,ITA,A,1,80,Transient-Party
Resort Hotel,0,4,1,0,Online TA,PRT,A,0,201,Transient
City Hotel,1,276,2,0,Groups,PRT,A,0,62,Contract
City Hotel,1,5,1,0,Online TA,ESP,D,0,131,Transient
City Hotel,1,33,2,1,Online TA,IRN,A,0,105.4,Transient
Resort Hotel,1,121,2,0,Groups,GBR,D,0,72,Transient
City Hotel,0,69,2,0,Groups,PRT,A,0,85.67,Transient-Party
City Hotel,0,42,2,0,Online TA,FRA,D,0,144,Transient
Resort Hotel,0,5,2,0,Offline TA/TO,GBR,E,0,45,Transient
City Hotel,0,32,1,0,Online TA,GBR,D,0,136,Contract
Resort Hotel,0,165,0,0,Groups,PRT,A,1,0,Transient-Party
City Hotel,1,60,1,0,Online TA,ITA,A,0,74.8,Transient
City Hotel,0,102,2,0,Online TA,DEU,A,0,120.6,Transient
Resort Hotel,1,141,2,0,Online TA,SWE,E,0,78,Transient
City Hotel,0,0,1,0,Corporate,CZE,A,1,140,Transient-Party
Resort Hotel,0,1,2,0,Direct,PRT,F,0,85,Transient-Party
City Hotel,0,0,1,0,Online TA,PRT,A,0,0,Transient
Resort Hotel,0,0,2,0,Offline TA/TO,USA,A,4,38,Transient
Resort Hotel,1,74,2,0,Groups,PRT,A,0,70,Transient
Resort Hotel,1,267,2,0,Offline TA/TO,PRT,A,0,54.99,Transient
City Hotel,0,89,2,0,Online TA,DEU,A,1,90.95,Transient
Resort Hotel,0,27,1,0,Corporate,PRT,A,0,45,Transient
Resort Hotel,0,24,1,0,Corporate,CZE,A,5,40,Transient
City Hotel,1,208,2,0,Online TA,CN,B,0,116.1,Transient
City Hotel,1,61,2,0,Groups,PRT,A,0,80,Transient
City Hotel,0,23,2,0,Online TA,PRT,A,0,140,Transient
City Hotel,1,11,2,0,Online TA,PRT,A,0,70.07,Transient
City Hotel,1,80,2,0,Offline TA/TO,PRT,A,0,90,Transient
Resort Hotel,0,190,2,0,Direct,PRT,D,3,122.5,Transient
City Hotel,0,7,1,0,Corporate,PRT,A,0,40,Transient
City Hotel,0,19,3,0,Online TA,FRA,D,0,230,Transient
City Hotel,1,124,2,0,Online TA,GBR,D,0,143.1,Transient
City Hotel,0,184,3,0,Offline TA/TO,PRT,A,1,96.9,Transient
City Hotel,0,46,2,0,Direct,DEU,A,2,59.4,Transient
City Hotel,0,1,1,0,Online TA,BEL,A,0,160,Transient
City Hotel,0,7,1,0,Offline TA/TO,FRA,A,0,82.4,Transient
City Hotel,1,54,2,0,Online TA,PRT,A,0,107.2,Transient
City Hotel,0,20,1,0,Corporate,PRT,A,0,65,Transient
Resort Hotel,1,49,2,1,Online TA,GBR,C,0,228,Transient
City Hotel,0,39,2,0,Groups,PRT,A,0,62,Transient-Party
Resort Hotel,0,0,1,0,Corporate,PRT,A,0,35,Transient
City Hotel,1,437,2,0,Groups,PRT,A,0,60,Transient
Resort Hotel,0,1,2,0,Direct,PRT,A,0,135,Transient
City Hotel,1,48,3,0,Online TA,BRA,D,0,180,Transient
City Hotel,0,58,2,0,Online TA,NLD,D,0,86.72,Transient
City Hotel,0,3,1,0,Corporate,PRT,A,0,65,Transient
City Hotel,0,0,1,0,Online TA,PRT,A,1,130,Transient
City Hotel,0,4,2,0,Online TA,AUS,A,0,133,Contract
City Hotel,1,22,1,0,Corporate,PRT,A,0,65,Transient-Party
City Hotel,1,163,2,0,Groups,PRT,A,0,96,Transient
City Hotel,0,31,2,0,Online TA,CHN,A,0,98,Transient
Resort Hotel,0,2,2,0,Direct,PRT,A,0,55,Transient
City Hotel,1,277,2,0,Groups,PRT,A,0,100,Transient
City Hotel,1,0,2,0,Direct,PRT,D,0,89,Transient
Resort Hotel,0,103,1,0,Online TA,BRA,A,0,45,Transient
Resort Hotel,0,278,2,0,Offline TA/TO,GBR,D,0,45.9,Contract
City Hotel,1,134,1,0,Groups,PRT,A,0,75,Transient-Party
City Hotel,0,16,1,0,Corporate,CHE,E,2,86,Transient-Party
City Hotel,0,2,2,0,Online TA,ESP,A,0,100.67,Contract
City Hotel,1,275,2,0,Offline TA/TO,PRT,A,0,90,Transient
City Hotel,1,317,2,0,Offline TA/TO,PRT,A,0,90,Transient
Resort Hotel,0,241,1,0,Groups,GBR,A,0,28.8,Transient-Party
Resort Hotel,0,40,1,0,Groups,PRT,A,0,55,Transient-Party
City Hotel,1,279,2,0,Offline TA/TO,PRT,A,0,110,Transient
City Hotel,1,28,2,0,Groups,PRT,A,0,95,Transient
City Hotel,1,28,1,0,Groups,PRT,A,0,120,Transient-Party
City Hotel,0,178,2,0,Online TA,FRA,A,0,139.5,Transient
Resort Hotel,0,1,2,0,Direct,PRT,A,0,73,Transient
City Hotel,0,128,2,0,Online TA,NLD,D,1,135,Transient-Party
Resort Hotel,0,37,3,0,Online TA,USA,G,3,117.81,Transient
Resort Hotel,0,5,2,0,Online TA,ESP,D,0,56,Transient
Resort Hotel,0,194,2,2,Online TA,PRT,G,0,240.57,Transient
Resort Hotel,0,1,2,0,Online TA,PRT,D,0,58,Transient
Resort Hotel,1,2,1,0,Corporate,PRT,A,0,47,Transient
City Hotel,1,233,2,0,Groups,PRT,A,0,105,Transient
City Hotel,1,187,2,0,Online TA,CHE,A,0,125.1,Transient
City Hotel,0,99,1,0,Corporate,PRT,A,0,81,Transient
City Hotel,0,22,3,0,Online TA,GBR,D,0,230,Transient
City Hotel,0,60,2,0,Offline TA/TO,FRA,A,0,65,Transient-Party
City Hotel,0,158,2,0,Groups,ISR,A,0,95,Transient-Party
City Hotel,0,97,2,0,Online TA,ESP,A,0,96.3,Transient-Party
City Hotel,0,135,2,0,Online TA,USA,A,0,101.7,Transient
